Short_Name,CMP Rs.,P/E,Ind PE,Mar Cap Rs.Cr.,CMP / BV,Profit growth %,PAT 12M Rs.Cr. ,Debt / Eq,OPM %,Net CF Rs.Cr.,Cash / MCap,Debt Rs.Cr.,Mkt Cap To Debt Cap,NP 12M Rs.Cr.,NP Qtr Rs.Cr.
St Bk of India,727.85,8.19,8.19,649578.47,1.35,15.32,79345.03,12.58,48.69,8260.39,0.5,756022.62,2.42,82345.9,19483.78
HDFC Bank,1706.6,18.77,9.84,1305782.1,2.62,17.86,69579.75,6.44,37.39,31686.7,0.16,653474.25,9.76,72168.47,18340.11
Reliance Industr,1247.9,24.41,20.55,1688704.35,2.06,-0.98,69192,0.44,17.46,28561,0.05,357525,1.33,79941,21930
ICICI Bank,1250.05,17.95,9.84,883060.9,3.03,15.93,49198.5,6.08,30.37,26312.41,0.17,217007.2,0.82,52415.74,13846.89
TCS,3511.05,26.05,27.51,1270328.62,12.52,6.98,48763,0.09,26.81,1893,0.01,9046,2.57,49006,12444
Life Insurance,740.15,10.88,45.32,468144.7,4.79,6.83,43039.98,0,3.16,-3574.31,0.09,9.8,0.88,43042.5,11008.68
O N G C,225.43,7.17,16.16,283597.23,0.81,-16.76,39568.13,0.54,13.6,-3591.02,0.12,191489.32,0.3,40998.79,9783.64
Tata Motors,655.5,7.58,18.84,241301.95,2.39,57.92,31834.16,1.05,13.12,8127.81,0.17,106549,0.56,32249,5578
Axis Bank,1010.2,11.1,9.84,312802.44,1.75,18.77,28179.02,7.4,62.17,7785.25,0.36,225020.81,1.43,28311.77,6778.91
Infosys,1579.85,23.73,27.51,656069.64,7.43,13.36,27649,0.09,23.84,2613,0.02,8221,2.35,27687,6822
Power Fin.Corpn.,388.35,5.75,18.63,128159.45,1.16,18.53,22298.72,8.27,99.49,31.9,0.03,910447.03,-0.19,29712.95,7759.56
NTPC,331.9,14.64,28.38,321832.35,1.91,12.7,21979.97,1.44,28.18,397.69,0.02,242009.49,0.69,22546.06,5169.69
