Company Name,Industry,Symbol,Series,ISIN Code,stock_symbol,name
ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025,ACC,ACC
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015,AMBER,Amber Enterp.
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,EQ,INE852O01025,APTUS,Aptus Value Hou.
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023,ATGL,Adani Green
BASF India Ltd.,Chemicals,BASF,EQ,INE373A01013,BASF,BASF India
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01026,BDL,Bharat Dynamics
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024,BEL,Bharat Electron
BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027,BLS,BLS Internat.
Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035,BSOFT,Birlasoft Ltd
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01012,CAMS,Cams Services
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011,CDSL,C D S L
Cello World Ltd.,Consumer Durables,CELLO,EQ,INE0LMW01024,CELLO,Cello World
Clean Science and Technology Ltd.,Chemicals,CLEAN,EQ,INE227W01023,CLEAN,Clean Science
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020,DIXON,Dixon Technolog.
Firstsource Solutions Ltd.,Services,FSL,EQ,INE684F01012,FSL,Firstsour.Solu.
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019,GAIL,GAIL (India)
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO,EQ,INE159A01016,GLAXO,Glaxosmi. Pharma
Godawari Power & Ispat Ltd.,Capital Goods,GPIL,EQ,INE177H01039,GPIL,Godawari Power
Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,GRSE,EQ,INE382Z01011,GRSE,Garden Reach Sh.
Himadri Speciality Chemical Ltd.,Chemicals,HSCL,EQ,INE019C01026,HSCL,Himadri Special
Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020,IEX,Indian Energy Ex
IRB Infrastructure Developers Ltd.,Construction,IRB,EQ,INE821I01022,IRB,IRB Infra.Devl.
ICICI Securities Ltd.,Financial Services,ISEC,EQ,INE763G01038,ISEC,ICICI Securities
Jupiter Wagons Ltd.,Capital Goods,JWL,EQ,INE209L01016,JWL,Jupiter Wagons
Kalpataru Projects International Ltd.,Construction,KPIL,EQ,INE220B01022,KPIL,Kalpataru Proj.
NCC Ltd.,Construction,NCC,EQ,INE868B01028,NCC,NCC
Narayana Hrudayalaya Ltd.,Healthcare,NH,EQ,INE410P01011,NH,Narayana Hrudaya
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029,NYKAA,FSN E-Commerce
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027,OFSS,Oracle Fin.Serv.
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011,PFC,Power Fin.Corpn.
PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030,PIIND,P I Industries
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022,PNB,Punjab Natl.Bank
