stock_symbol,name,detail
USD,St Bk of India,
HDB,HDFC Bank,
INR,Reliance Industr,
IBN,ICICI Bank,
INR,TCS,
,Life Insurance,Ticker not found
OGN,O N G C,
,Tata Motors,Ticker not found
INR,Axis Bank,
USD,Infosys,
PFC,Power Fin.Corpn.,
,NTPC,Ticker not found
INR,Bank of Baroda,
SPV,Bharti Airtel,
INR,ITC,
RBI,Kotak Mah. Bank,
INR,HCL Technologies,
PNB,Punjab Natl.Bank,
ROE,Canara Bank,
I,Union Bank (I),
INR,Bajaj Finance,
INR,REC Ltd,
MRTI,Maruti Suzuki,
CMP,Hindalco Inds.,
,Larsen & Toubro,Ticker not found
INR,Adani Power,
,M & M,Ticker not found
,Vedanta,Ticker not found
MRK,Sun Pharma.Inds.,
INR,Indian Bank,
APSEZ,Adani Ports,
GAIL,GAIL (India),
,Hind. Unilever,Ticker not found
INR,Indus Towers,
INR,Hindustan Zinc,
,Hind.Aeronautics,Ticker not found
ROE,Bajaj Finserv,
BOI,Bank of India,
INR,Shriram Finance,
INR,Bajaj Auto,
BSE,General Insuranc,
,Bajaj Holdings,Ticker not found
INR,Oil India,
NSE,IndusInd Bank,
EPS,IDBI Bank,
INR,I R F C,
INR,NMDC,
BSE,UltraTech Cem.,
USD,Interglobe Aviat,
HPQ,H P C L,
RDY,Dr Reddys Labs,
,Bank of Maha,Ticker not found
,LIC Housing Fin.,Ticker not found
BEL,Bharat Electron,
INR,Cipla,
INR,Muthoot Finance,
INR,LTIMindtree,
USFDA,Zydus Lifesci.,
INR,Eicher Motors,
PAT,Ambuja Cements,
INR,Hero Motocorp,
MSSL,Samvardh. Mothe.,
INR,Grasim Inds,
CHLA,Cholaman.Inv.&Fn,
CIN,Federal Bank,
AIIL,Authum Invest,
NALCO,Natl. Aluminium,
TPREL,Tata Power Co.,
INR,Adani Enterp.,
INR,DLF,
RBI,Aditya Birla Cap,
USD,Central Bank,
INR,Aurobindo Pharma,
MOFSL,Motil.Oswal.Fin.,
INR,Titan Company,
SEBI,Nestle India,
,I O B,Ticker not found
INR,Lupin,
INR,Ashok Leyland,
INR,Mazagon Dock,
FMCG,Avenue Super.,
INR,NHPC Ltd,
,H U D C O,Ticker not found
INR,Varun Beverages,
INR,Oberoi Realty,
AAP,L&T Finance Ltd,
,ICICI Lombard,Ticker not found
IPR,Macrotech Devel.,
CMP,Bandhan Bank,
,M & M Fin. Serv.,Ticker not found
,SBI Life Insuran,Ticker not found
ACC,ACC,
,GE Shipping Co,Ticker not found
,HDFC AMC,Ticker not found
INR,Torrent Power,
,UCO Bank,Ticker not found
OFSS,Oracle Fin.Serv.,
INR,NLC India,
INR,Britannia Inds.,
INR,Yes Bank,
INR,Alkem Lab,
NCR,Embassy Off.REIT,
USD,J & K Bank,
ISEC,ICICI Securities,
,Chola Financial,Ticker not found
INR,Divis Lab.,
,SBI Cards,Ticker not found
AUFI,AU Small Finance,
INR,Bosch,
ETF,Pidilite Inds.,
EPS,TVS Motor Co.,
INR,Manappuram Fin.,
BSE,Bajaj Housing,
,Cummins India,Ticker not found
INR,Mankind Pharma,
PSTR,IDFC First Bank,
KVB,Karur Vysya Bank,
NYSE,A B B,
INR,Natco Pharma,
BSE,Torrent Pharma.,
SAW,Jindal Saw,
INR,Polycab India,
,PNB Housing,Ticker not found
ETF,Balkrishna Inds,
INR,Dabur India,
INR,MRF,
,HDFC Life Insur.,Ticker not found
PIIND,P I Industries,
INR,Mphasis,
INR,Sundaram Finance,
,Jio Financial,Ticker not found
INR,Marico,
ROE,Indian Hotels Co,
NSE,Indian Renewable,
LMEL,Lloyds Metals,
INR,Indraprastha Gas,
INR,Trent,
GODR,Godrej Propert.,
INR,United Spirits,
,Colgate-Palmoliv,Ticker not found
ATGL,Adani Green,
INR,Havells India,
INR,CESC,
