Short_Name,Ticker
360 ONE,360ONE
3M India,3MINDIA
A B B,ABB
Aadhar Hsg. Fin.,AADHARHFC
Aarti Industries,AARTIIND
AAVAS Financiers,AAVAS
Abbott India,ABBOTINDIA
ACC,ACC
Action Const.Eq.,ACE
Adani Enterp.,ADANIENT
Adani Green,ADANIGREEN
Adani Ports,ADANIPORTS
Adani Power,ADANIPOWER
Adani Total Gas,ATGL
Adani Wilmar,AWL
Aditya AMC,ABSLAMC
Aditya Birla Cap,ABCAPITAL
Aether Industri.,AETHER
Affle India,AFFLE
Ajanta Pharma,AJANTPHARM
Akzo Nobel,AKZOINDIA
Alembic Pharma,APLLTD
Alkem Lab,ALKEM
Altius Telecom,543225
Amara Raja Ener.,ARE&M
Amber Enterp.,AMBER
Ambuja Cements,AMBUJACEM
Ami Organics,AMIORG
Anand Rathi Wea.,ANANDRATHI
Anant Raj,ANANTRAJ
Angel One,ANGELONE
Apar Inds.,APARINDS
APL Apollo Tubes,APLAPOLLO
Apollo Hospitals,APOLLOHOSP
Apollo Tyres,APOLLOTYRE
Aptus Value Hou.,APTUS
Asahi India Glas,ASAHIINDIA
Ashok Leyland,ASHOKLEY
Astral,ASTRAL
Atul,ATUL
AU Small Finance,AUBANK
Aurobindo Pharma,AUROPHARMA
Authum Invest,AIIL
Avanti Feeds,AVANTIFEED
Avenue Super.,DMART
Axis Bank,AXISBANK
Bajaj Auto,BAJAJ-AUTO
Bajaj Finance,BAJFINANCE
Bajaj Finserv,BAJAJFINSV
Bajaj Holdings,BAJAJHLDNG
Bajaj Housing,BAJAJHFL
Balkrishna Inds,BALKRISIND
Bandhan Bank,BANDHANBNK
Bank of Baroda,BANKBARODA
Bank of India,BANKINDIA
Bank of Maha,MAHABANK
BASF India,BASF
Bata India,BATAINDIA
Berger Paints,BERGEPAINT
Bharat Dynamics,BDL
Bharat Electron,BEL
Bharat Forge,BHARATFORG
Bharti Airtel,BHARTIARTL
Bharti Hexacom,BHARTIHEXA
Bikaji Foods,BIKAJI
Biocon,BIOCON
Birlasoft Ltd,BSOFT
BLS Internat.,BLS
Blue Dart Expres,BLUEDART
Blue Jet Health,BLUEJET
Blue Star,BLUESTARCO
Bombay Burmah,BBTC
Bosch,BOSCHLTD
Brigade Enterpr.,BRIGADE
Britannia Inds.,BRITANNIA
Brookfield India,BIRET
BSE,BSE
C D S L,CDSL
Cams Services,CAMS
Canara Bank,CANBK
Caplin Point Lab,CAPLIPOINT
Capri Global,CGCL
Carborundum Uni.,CARBORUNIV
Castrol India,CASTROLIND
CEAT,CEATLTD
Cello World,CELLO
Central Bank,CENTRALBK
Century Plyboard,CENTURYPLY
CESC,CESC
CG Power & Ind,CGPOWER
Chalet Hotels,CHALET
Chola Financial,CHOLAHLDNG
Cholaman.Inv.&Fn,CHOLAFIN
Cipla,CIPLA
City Union Bank,CUB
Clean Science,CLEAN
Cochin Shipyard,COCHINSHIP
Coforge,COFORGE
Colgate-Palmoliv,COLPAL
Concord Biotech,CONCORDBIO
Container Corpn.,CONCOR
Craftsman Auto,CRAFTSMAN
CRISIL,CRISIL
Crompton Gr. Con,CROMPTON
Cummins India,CUMMINSIND
Cyient,CYIENT
Dabur India,DABUR
DCM Shriram,DCMSHRIRAM
Deepak Fertiliz.,DEEPAKFERT
Deepak Nitrite,DEEPAKNTR
Divis Lab.,DIVISLAB
Dixon Technolog.,DIXON
DLF,DLF
Doms Industries,DOMS
Dr Lal Pathlabs,LALPATHLAB
Dr Reddys Labs,DRREDDY
eClerx Services,ECLERX
Eicher Motors,EICHERMOT
EIH,EIHOTEL
Elgi Equipments,ELGIEQUIP
Emami,EMAMILTD
Embassy Off.REIT,EMBASSY
Emcure Pharma,EMCURE
Endurance Tech.,ENDURANCE
ERIS Lifescience,ERIS
Escorts Kubota,ESCORTS
Exide Inds.,EXIDEIND
Federal Bank,FEDERALBNK
Fine Organic,FINEORG
Finolex Cables,FINCABLES
Firstsour.Solu.,FSL
Five-Star Bus.Fi,FIVESTAR
Force Motors,FORCEMOT
Fortis Health.,FORTIS
FSN E-Commerce,NYKAA
GAIL (India),GAIL
Garden Reach Sh.,GRSE
GE Shipping Co,GESHIP
GE Vernova T&D,GVT&D
General Insuranc,GICRE
Gillette India,GILLETTE
Gland Pharma,GLAND
Glaxosmi. Pharma,GLAXO
Global Health,MEDANTA
Go Digit General,GODIGIT
Godawari Power,GPIL
Godfrey Phillips,GODFRYPHLP
Godrej Propert.,GODREJPROP
Grasim Inds,GRASIM
Gravita India,GRAVITA
Grindwell Norton,GRINDWELL
Guj.St.Petronet,GSPL
Gujarat Fluoroch,FLUOROCHEM
Gujarat Gas,GUJGASLTD
H P C L,HINDPETRO
H U D C O,HUDCO
Happiest Minds,HAPPSTMNDS
Hatsun Agro,HATSUN
Havells India,HAVELLS
HBL Engineering,HBLENGINE
HCL Technologies,HCLTECH
HDFC AMC,HDFCAMC
HDFC Bank,HDFCBANK
HDFC Life Insur.,HDFCLIFE
Hero Motocorp,HEROMOTOCO
HFCL,HFCL
Himadri Special,HSCL
Hind. Unilever,HINDUNILVR
Hind.Aeronautics,HAL
Hindalco Inds.,HINDALCO
Hindustan Copper,HINDCOPPER
Hindustan Zinc,HINDZINC
Hitachi Energy,POWERINDIA
Honeywell Auto,HONAUT
I O B,IOB
I R C T C,IRCTC
I R F C,IRFC
ICICI Bank,ICICIBANK
ICICI Lombard,ICICIGI
ICICI Securities,ISEC
IDBI Bank,IDBI
IDFC First Bank,IDFCFIRSTB
IIFL Finance,IIFL
Indegene,INDGN
Indiamart Inter.,INDIAMART
Indian Bank,INDIANB
Indian Energy Ex,IEX
Indian Hotels Co,INDHOTEL
Indian Renewable,IREDA
IndiGrid Trust,INDIGRID
Indraprastha Gas,IGL
Indus Towers,INDUSTOWER
IndusInd Bank,INDUSINDBK
Info Edg.(India),NAUKRI
Infosys,INFY
Ingersoll-Rand,INGERRAND
Inox Wind,INOXWIND
Inox Wind Energy,IWEL
Interglobe Aviat,INDIGO
Ipca Labs.,IPCALAB
IRB Infra.Devl.,IRB
ITC,ITC
J & K Bank,J&KBANK
J B Chemicals &,JBCHEPHARM
J K Cements,JKCEMENT
Jai Balaji Inds.,JAIBALAJI
JBM Auto,JBMA
Jindal Saw,JINDALSAW
Jio Financial,JIOFIN
JSW Holdings,JSWHL
JSW Infrast,JSWINFRA
Jubilant Food.,JUBLFOOD
Jupiter Wagons,JWL
Jyothy Labs,JYOTHYLAB
Jyoti CNC Auto.,JYOTICNC
K E C Intl.,KEC
K P R Mill Ltd,KPRMILL
Kajaria Ceramics,KAJARIACER
Kalpataru Proj.,KPIL
Kalyan Jewellers,KALYANKJIL
Kansai Nerolac,KANSAINER
Karur Vysya Bank,KARURVYSYA
Kaynes Tech,KAYNES
KEI Industries,KEI
KFin Technolog.,KFINTECH
Kirl. Brothers,KIRLOSBROS
Kotak Mah. Bank,KOTAKBANK
KPIT Technologi.,KPITTECH
Krishna Institu.,KIMS
KSB,KSB
L T Foods,LTFOODS
